Domain,URL,Company Name,Segment,Opus Verdict,Opus Reason,Employees,Country,GPT Reasoning,Short Description,Source Sheet,Scrape Status
aha.inc,https://aha.inc,AhaCreator,INFLUENCER_PLATFORMS,GOOD,"AhaCreator automates influencer marketing — creator discovery, outreach, negotiation across 5M+ creators in 140+ countries",24,United States,"AhaCreator's platform automates influencer marketing processes, connecting brands with qualified social media influencers and offering campaign management tools.",Bark is the social media and influencers outreach arm of Terrier. Built as the UK's first no-nonsense influencer marketing agency that is solely focused on ROI.,UK_EU,success
hypefy.ai,https://hypefy.ai,Hypefy,INFLUENCER_PLATFORMS,GOOD,"AI-powered influencer selection, campaign management, and performance tracking with 12M+ influencer database",28,Croatia,"Hypefy is an AI-driven influencer marketing platform that automates influencer selection, campaign setup, and performance tracking for brands.",Oliro Events ist Veranstalter der größten deutschen Konferenzen im Bereich Performance- und Affiliate-Marketing: der TactixX und der Affiliate Conference. Darüber hinaus organisieren wir bundesweit zahlreiche Networking-Events unter den Marken Affiliate NetworkxX und OMBash.,UK_EU,success
playnest.com.br,https://playnest.com.br,PlayNest,INFLUENCER_PLATFORMS,GOOD,Platform connecting brands and content creators with AI curation and performance tracking for influencer campaigns,25,Brazil,"Offers a platform for influencer marketing with features like creator monetization, analytics, and brand partnerships.","MoreNiche is a UK-based performance and affiliate marketing agency that specializes in the health, beauty, fitness, and wellness sectors. Founded around 2002 by CEO Andrew Slack, the company operates as MORENICHE LIMITED and has established itself as a key player in the affiliate network space. More",UK_EU,success
clanconnect.ai,https://clanconnect.ai,ClanConnect,INFLUENCER_PLATFORMS,GOOD,Influencer marketing platform for companies and agencies — connects brands with influencers through data-driven insights,20,India,"The platform connects brands with influencers through data-driven insights and analysis tools, focusing on scalable influencer campaigns.",A Warrior conecta marcas e streamers através de tecnologia. Com a Warrior marcas conseguem patrocinar lives e streams e streamers podem aumentar seus ganhos para criar lives ainda melhores e com mais engajamento.,LATAM,success
cre8r.ai,https://cre8r.ai,Cre8r.ai,INFLUENCER_PLATFORMS,GOOD,"AI-powered influencer marketing platform with 4M+ creator database, campaign management, and performance tracking",31,India,"The platform focuses on influencer management with features for discovering creators, designing campaigns, and tracking performance metrics.",,LATAM,success
vhub.ai,https://vhub.ai,vHub.ai,INFLUENCER_PLATFORMS,GOOD,"AI-powered influencer marketing platform with 5M+ creators, campaign management, authenticity verification, and analytics",31,India,"Offers an AI-powered influencer marketing platform with tools for creator discovery, audience analysis, and campaign management.","Agência Fizz, founded in 2012 in São Paulo, is a Brazilian digital marketing agency that specializes in integrated communication and influencer marketing. Co-founded by Beta Whately and Priscila, the agency has established itself as a key player in Brazil's digital marketing landscape, helping brand",LATAM,error
starbuzz.ai,https://starbuzz.ai,Starbuzz.ai,INFLUENCER_PLATFORMS,GOOD,"AI-powered SaaS for influencer discovery, campaign management, and ROI tracking for brands and agencies",30,India,"Offers a comprehensive platform for influencer discovery, campaign management, and performance tracking, specifically designed for brands and agencies.","HYPE Influencer Agency is an influencer marketing agency located in Colombia. The agency specializes in influencer marketing and has a strong background in developing effective strategies for campaigns. 

With a modern, urban approach, HYPE focuses on creating impactful influencer campaigns that res",LATAM,success
infloso.ai,https://infloso.ai,Infloso AI,INFLUENCER_PLATFORMS,GOOD,"AI-powered influencer discovery, campaign execution, and performance monitoring platform for brands and agencies",55,United States,"Offers tools for discovering creators and automating brand collaborations, including deep insights and performance analytics.","KR3W is a skateboarding apparel company founded in 2002 by Angel Cabada in Fountain Valley, California. The brand specializes in durable and stylish clothing designed by skaters for skaters, emphasizing quality, fit, and authenticity. Initially starting with T-shirts and hats, KR3W has expanded its ",LATAM,success
refluenced.us,https://refluenced.us,Refluenced AG,INFLUENCER_PLATFORMS,GOOD,"Micro-influencer marketing platform connecting brands with creators, AI-driven campaign management",20,Switzerland,The platform connects brands with micro-influencers and automates campaign management through AI-driven tools.,"MField is a prominent Brazilian influencer marketing agency based in São Paulo, with a focus on creative, story-driven campaigns. Founded between 2012 and 2017, the agency employs around 80 people and serves a diverse range of clients across Brazil. MField specializes in connecting brands with curat",LATAM,success
coco.gl,https://coco.gl,CoCo,INFLUENCER_PLATFORMS,GOOD,"Instagram analytics platform with influencer discovery, audience analysis, and campaign management for 100K+ influencers",31,Austria,"CoCo provides analytics for Instagram, including audience analysis and influencer identification for effective marketing campaigns.",We Communicate Your Best,LATAM,success
basemaker.co,https://basemaker.co,Basemaker,INFLUENCER_PLATFORMS,GOOD,Influencer marketing platform connecting brands with creators via hypersegmentation and first-party data filters,11,Brazil,The platform connects brands with content creators and offers advanced filters for creator discovery and audience targeting.,"Goldfish S.A.S. is a prominent influencer marketing agency based in Bogotá, Colombia, with additional offices in Mexico City. Founded in 2014, the agency specializes in performance-based strategies that connect brands with content creators across Latin America, focusing on driving business ROI. Gold",LATAM,success
